,Pittsburgh,New_York,Dallas
FMPC 10883: TetR/AcrR family transcriptional regulator ,0.529977376,0.52,0.642857143
FMPC 10884: NUDIX domain-containing protein ,0.5,0.5,0.5
FMPC 10885: glycoside hydrolase family 19 protein ,0.49321267,0.51047619,0.408163265
FMPC 10886: Holliday junction resolvase RecU ,0.5,0.5,0.5
"FMPC 10887: precorrin-6y C5,15-methyltransferase (decarboxylating) subunit CbiE ",0.48331448,0.443809524,0.489795918
FMPC 10888: DUF421 domain-containing protein ,0.5,0.5,0.5
FMPC 10889: DUF3786 domain-containing protein ,0.583710407,0.643809524,0.632653061
FMPC 10890: DUF1405 domain-containing protein ,0.5,0.5,0.5
FMPC 10891: YitT family protein ,0.5,0.5,0.5
FMPC 10892: response regulator transcription factor ,0.5,0.5,0.5
FMPC 10893: HAD family phosphatase ,0.5,0.5,0.5
FMPC 10894: LysE family translocator ,0.5,0.52,0.5
FMPC 10895: protein jag ,0.5,0.5,0.5
FMPC 10896: 30S ribosomal protein S4 ,0.584276018,0.321904762,0.387755102
FMPC 10897: lysoplasmalogenase ,0.491515837,0.412380952,0.469387755
FMPC 10898: SOS response-associated peptidase ,0.475678733,0.492380952,0.5
FMPC 10899: *hhblits annotated* Nuclear pore complex protein-like protein db:Uniclust30_2023 e-value:2.6000000000000003e-44 ,0.467760181,0.512380952,0.571428571
FMPC 10900: YqeG family HAD IIIA-type phosphatase ,0.509049774,0.476190476,0.428571429
FMPC 10901: Holliday junction resolvase RecU ,0.538461538,0.512380952,0.346938776
FMPC 10902: *hhblits annotated* Transposase family protein  db:Pdp70 e-value:1.3e-25 ,0.588235294,0.558095238,0.612244898
FMPC 10903: GntR family transcriptional regulator ,0.542986425,0.718095238,0.673469388
FMPC 10904: ATP-binding protein ,0.5,0.5,0.5
FMPC 10905: dihydrofolate reductase family protein ,0.5,0.476190476,0.5
FMPC 10906: thiazole tautomerase TenI ,0.5,0.5,0.5
FMPC 10907: 30S ribosomal protein S4 ,0.377828054,0.455238095,0.469387755
FMPC 10908: *hhblits annotated* OmpA  db:Pdp70 e-value:0.0075 ,0.5,0.5,0.5
FMPC 10909: DUF4355 domain-containing protein ,0.483031674,0.52,0.428571429
FMPC 10910: restriction endonuclease subunit S ,0.5,0.5,0.5
FMPC 10911: DUF3164 family protein ,0.5,0.5,0.5
"FMPC 10912: *hhblits annotated* Ribbon-helix-helix protein, copG family db:Uniclust30_2023 e-value:5.8e-104 ",0.5,0.5,0.5
FMPC 10913: replication protein ,0.5,0.474285714,0.510204082
FMPC 10914: winged helix-turn-helix transcriptional regulator ,0.5,0.5,0.5
FMPC 10915: *hhblits annotated* Peptidase C39-like domain-containing protein db:Uniclust30_2023 e-value:1.3e-50 ,0.440045249,0.506666667,0.234693878
FMPC 10916: helix-turn-helix domain-containing protein ,0.5,0.5,0.5
FMPC 10917: VTT domain-containing protein ,0.5,0.5,0.5
FMPC 10918: cysteine hydrolase ,0.460972851,0.451428571,0.418367347
FMPC 10919: ORF6N domain-containing protein ,0.384615385,0.259047619,0.408163265
FMPC 10920: nucleoside recognition protein ,0.488404977,0.272380952,0.43877551
FMPC 10921: Type 1 glutamine amidotransferase-like domain-containing protein ,0.5,0.5,0.5
FMPC 10922: nitroreductase family protein ,0.5,0.5,0.5
FMPC 10923: ParA family plasmid-partitioning AAA ATPase ,0.479638009,0.492380952,0.428571429
FMPC 10924: oligoribonuclease ,0.5,0.52,0.5
FMPC 10925: glycerol-3-phosphate 1-O-acyltransferase PlsY ,0.5,0.497142857,0.428571429
FMPC 10926: class I SAM-dependent methyltransferase ,0.5,0.5,0.5
FMPC 10927: *hhblits annotated* Putative nucleoside 2-deoxyribosyltransferase  db:Pdp70 e-value:8.1e-14 ,0.5,0.5,0.5
FMPC 10928: *hhblits annotated* Uncultured bacterium plasmid pRGI00811  db:Pdp70 e-value:0.037 ,0.5,0.5,0.5
FMPC 10929: spore coat protein GerQ ,0.562217195,0.403809524,0.285714286
FMPC 10930: transcriptional repressor LexA ,0.474547511,0.51047619,0.612244898
FMPC 10931: SOS response-associated peptidase family protein ,0.5,0.5,0.5
FMPC 10932: 2-dehydro-3-deoxy-phosphogluconate aldolase ,0.5,0.5,0.5
FMPC 10933: FMN-dependent NADH-azoreductase ,0.5,0.5,0.5
FMPC 10934: DUF5710 domain-containing protein ,0.5,0.5,0.5
FMPC 10935: orotidine 5'-phosphate decarboxylase ,0.5,0.5,0.5
FMPC 10936: glucosaminidase domain-containing protein ,0.507352941,0.472380952,0.642857143
FMPC 10937: recombinase family protein ,0.501696833,0.472380952,0.510204082
FMPC 10938: GyrI-like domain-containing protein ,0.470588235,0.499047619,0.448979592
FMPC 10939: precorrin-8X methylmutase ,0.446832579,0.347619048,0.5
FMPC 10940: ATP-binding cassette domain-containing protein ,0.5,0.5,0.5
FMPC 10941: *hhblits annotated* PrgL  db:Pdp70 e-value:1.9e-51 ,0.50311086,0.5,0.5
FMPC 10942: Crp/Fnr family transcriptional regulator ,0.5,0.5,0.5
FMPC 10943: DUF975 family protein ,0.436651584,0.462857143,0.367346939
FMPC 10944: *hhblits annotated* Predicted protein  db:Pdp70 e-value:0.0025 ,0.5,0.5,0.5
FMPC 10945: conjugative transposon protein TraK ,0.347285068,0.260952381,0.285714286
FMPC 10946: DUF2306 domain-containing protein ,0.5,0.5,0.5
FMPC 10947: Fic family protein ,0.5,0.5,0.5
FMPC 10948: DUF1989 domain-containing protein ,0.475678733,0.428571429,0.510204082
FMPC 10949: GntR family transcriptional regulator ,0.5,0.5,0.5
FMPC 10950: mobilization protein ,0.540158371,0.451428571,0.591836735
FMPC 10951: DUF1541 domain-containing protein ,0.522058824,0.476190476,0.5
FMPC 10952: 1-acyl-sn-glycerol-3-phosphate acyltransferase ,0.5,0.5,0.5
FMPC 10953: DedA family protein ,0.5,0.5,0.5
FMPC 10954: *hhblits annotated* DUF2802 domain-containing protein db:Uniclust30_2023 e-value:7.1 ,0.5,0.5,0.5
FMPC 10955: CPBP family intramembrane metalloprotease ,0.5,0.5,0.5
FMPC 10956: *hhblits annotated* Acetyl-CoA acetyltransferase db:Uniclust30_2023 e-value:4.7999999999999997e-35 ,0.5,0.5,0.5
FMPC 10957: *hhblits annotated* septum formation initiator family protein db:Uniclust30_2023 e-value:11.0 ,0.51611991,0.5,0.571428571
FMPC 10958: *hhblits annotated* Lipoprotein db:Uniclust30_2023 e-value:0.00022 ,0.5,0.5,0.5
FMPC 10959: TetR/AcrR family transcriptional regulator ,0.495475113,0.5,0.428571429
FMPC 10960: Gp15 family bacteriophage protein ,0.507352941,0.5,0.5
FMPC 10961: DUF4355 domain-containing protein ,0.509615385,0.476190476,0.5
FMPC 10962: 50S ribosomal protein L4 ,0.5,0.506666667,0.571428571
FMPC 10963: alpha/beta hydrolase ,0.5,0.5,0.5
FMPC 10964: replication/maintenance protein RepL ,0.446266968,0.601904762,0.428571429
FMPC 10965: ParA family protein ,0.5,0.476190476,0.5
FMPC 10966: DUF1836 domain-containing protein ,0.5,0.5,0.5
FMPC 10967: YesL family protein ,0.5,0.5,0.5
FMPC 10968: nuclear transport factor 2 family protein ,0.5,0.5,0.5
FMPC 10969: thiol:disulfide interchange protein DsbA ,0.485294118,0.312380952,0.571428571
FMPC 10970: Holliday junction branch migration protein RuvA ,0.5,0.5,0.5
FMPC 10971: DsbA family protein ,0.5,0.5,0.5
FMPC 10972: LPXTG cell wall anchor domain-containing protein ,0.507352941,0.5,0.5
FMPC 10973: lysine exporter LysO family protein ,0.445135747,0.499047619,0.346938776
FMPC 10974: *hhblits annotated* Transmembrane protein (PGPGW) db:Uniclust30_2023 e-value:1.2 ,0.5,0.5,0.5
FMPC 10975: HAD family phosphatase ,0.45418552,0.52,0.408163265
FMPC 10976: *hhblits annotated* RusA family crossover junction endodeoxyribonuclease db:Uniclust30_2023 e-value:7.1e-34 ,0.5,0.5,0.5
FMPC 10977: *hhblits annotated* Substrate-specific component NikM of nickel ECF transporter  db:Pdp70 e-value:2.7e-13 ,0.5,0.5,0.5
FMPC 10978: LysE family translocator ,0.5,0.5,0.5
FMPC 10979: *hhblits annotated* Adhesin  db:Pdp70 e-value:1.8e-105 ,0.487839367,0.5,0.5
FMPC 10980: *hhblits annotated* Phosphate starvation-inducible protein PhoH (Fragment)  db:Pdp70 e-value:1.9e-14 ,0.5,0.5,0.5
FMPC 10981: spore gernimation protein GerQ ,0.5,0.5,0.5
FMPC 10982: *hhblits annotated* Membrane protein associated with oxaloacetate decarboxylase  db:Pdp70 e-value:3e-50 ,0.456447964,0.5,0.5
FMPC 10983: LysE family translocator ,0.514705882,0.512380952,0.551020408
FMPC 10984: poly-gamma-glutamate hydrolase family protein ,0.5,0.5,0.5
FMPC 10985: SCP2 sterol-binding domain-containing protein ,0.5,0.52,0.5
FMPC 10986: *hhblits annotated* Antitoxin of toxin-antitoxin stability system  db:Pdp70 e-value:9.1e-10 ,0.480769231,0.5,0.5
FMPC 10987: recombinase family protein ,0.594457014,0.514285714,0.387755102
FMPC 10988: antitermination protein ,0.575791855,0.474285714,0.489795918
FMPC 10989: YdcF family protein ,0.5,0.5,0.5
FMPC 10990: ERF family protein ,0.507352941,0.5,0.5
FMPC 10991: type IV toxin-antitoxin system AbiEi family antitoxin domain-containing protein ,0.5,0.5,0.5
FMPC 10992: TetR/AcrR family transcriptional regulator ,0.5,0.5,0.5
FMPC 10993: outer membrane beta-barrel protein ,0.5,0.5,0.5
FMPC 10994: 3'-5' exonuclease KapD ,0.5,0.5,0.5
FMPC 10995: plasmid pRiA4b ORF-3 family protein ,0.5,0.5,0.5
FMPC 10996: *hhblits annotated* Deacetylase PdaC domain-containing protein db:Uniclust30_2023 e-value:1.8999999999999998e-24 ,0.50311086,0.5,0.571428571
FMPC 10997: *hhblits annotated* DUF4358 domain-containing protein db:Uniclust30_2023 e-value:0.037 ,0.5,0.5,0.5
FMPC 10998: TetR/AcrR family transcriptional regulator ,0.5,0.5,0.5
FMPC 10999: *hhblits annotated* Chemotaxis protein  db:Pdp70 e-value:1.7e-06 ,0.5,0.5,0.5
FMPC 11000: *hhblits annotated* OmpH family outer membrane protein db:Uniclust30_2023 e-value:7.1e-16 ,0.5,0.5,0.5
FMPC 11001: GPR1/FUN34/YaaH family transporter ,0.582013575,0.438095238,0.755102041
FMPC 11002: NUMOD4 domain-containing protein ,0.511877828,0.533333333,0.408163265
FMPC 11003: biliverdin-producing heme oxygenase ,0.5,0.5,0.5
FMPC 11004: CDP-alcohol phosphatidyltransferase family protein ,0.475961538,0.552380952,0.5
FMPC 11005: multifunctional acyl-CoA thioesterase I/protease I/lysophospholipase L1 ,0.490384615,0.299047619,0.551020408
FMPC 11006: ParA family protein ,0.514988688,0.476190476,0.489795918
FMPC 11007: thymidine kinase ,0.410350679,0.247619048,0.612244898
FMPC 11008: translesion error-prone DNA polymerase V autoproteolytic subunit ,0.457579186,0.486666667,0.632653061
FMPC 11009: TetR family transcriptional regulator ,0.461538462,0.495238095,0.428571429
FMPC 11010: stage V sporulation protein AA ,0.5,0.5,0.5
FMPC 11011: spore protease YyaC ,0.417986425,0.342857143,0.56122449
FMPC 11012: *hhblits annotated* acyl-CoA dehydrogenase family protein db:Uniclust30_2023 e-value:0.68 ,0.290158371,0.326666667,0.244897959
FMPC 11013: methyltransferase domain-containing protein ,0.5,0.5,0.5
FMPC 11014: HAD family phosphatase ,0.5,0.5,0.5
FMPC 11015: DUF2913 family protein ,0.514705882,0.5,0.5
FMPC 11016: cyclase family protein ,0.541855204,0.452380952,0.357142857
FMPC 11017: *hhblits annotated* LPP20 lipoprotein db:Uniclust30 e-value:0.014 ,0.442873303,0.363809524,0.571428571
FMPC 11018: alpha/beta hydrolase ,0.455316742,0.424761905,0.591836735
FMPC 11019: 1-acyl-sn-glycerol-3-phosphate acyltransferase ,0.5,0.472380952,0.5
FMPC 11020: *hhblits annotated* DUF669 domain-containing protein db:Uniclust30_2023 e-value:3.4e-30 ,0.419400452,0.47047619,0.571428571
FMPC 11021: pyroglutamyl-peptidase I ,0.377828054,0.318095238,0.346938776
FMPC 11022: *hhblits annotated* Transmembrane protein db:Uniclust30_2023 e-value:2.9e-07 ,0.555429864,0.438095238,0.397959184
FMPC 11023: *hhblits annotated* Putative viral A-type inclusion protein db:Uniclust30_2023 e-value:2.6e-65 ,0.5,0.5,0.5
FMPC 11024: *hhblits annotated* Fimbrial assembly family protein  db:Pdp70 e-value:6e-46 ,0.5,0.5,0.5
FMPC 11025: class I SAM-dependent methyltransferase ,0.562782805,0.238095238,0.775510204
FMPC 11026: plasmid pRiA4b ORF-3 family protein ,0.5,0.476190476,0.5
FMPC 11027: DUF5701 family protein ,0.492081448,0.353333333,0.306122449
FMPC 11028: DedA family protein ,0.608031674,0.294285714,0.56122449
FMPC 11029: (d)CMP kinase ,0.5,0.52,0.5
FMPC 11030: alkaline shock response membrane anchor protein AmaP ,0.63800905,0.47047619,0.795918367
FMPC 11031: pentapeptide repeat-containing protein ,0.51611991,0.5,0.5
FMPC 11032: DUF1054 family protein ,0.5,0.476190476,0.5
FMPC 11033: *hhblits annotated* Putative Rep protein  db:Pdp70 e-value:4.9e-26 ,0.5,0.5,0.5
FMPC 11034: inovirus Gp2 family protein ,0.555429864,0.452380952,0.571428571
FMPC 11035: SMC-Scp complex subunit ScpB ,0.536199095,0.445714286,0.469387755
FMPC 11036: *hhblits annotated* IS3 family transposase  db:Pdp70 e-value:5.2e-34 ,0.455316742,0.30952381,0.510204082
FMPC 11037: recombination mediator RecR ,0.488122172,0.472380952,0.469387755
FMPC 11038: signal peptidase I ,0.5,0.47047619,0.5
FMPC 11039: *hhblits annotated* Replicative DNA helicase  db:Pdp70 e-value:2.9e-25 ,0.396493213,0.371428571,0.744897959
"FMPC 11040: *hhblits annotated* Transcriptional regulator, Phage-type  db:Pdp70 e-value:0.0082 ",0.5,0.5,0.5
FMPC 11041: threonine export protein RhtC ,0.402714932,0.388571429,0.551020408
FMPC 11042: 3'-5' exonuclease ,0.5,0.5,0.5
FMPC 11043: outer membrane beta-barrel protein Lom ,0.521493213,0.296190476,0.530612245
FMPC 11044: *hhblits annotated* Gfo/Idh/MocA-like oxidoreductase C-terminal domain-containing protein db:Uniclust30_2023 e-value:11.0 ,0.5,0.5,0.5
FMPC 11045: *hhblits annotated* Lipoprotein db:Uniclust30 e-value:0.011 ,0.5,0.5,0.5
FMPC 11046: FKBP-type peptidyl-prolyl cis-trans isomerase ,0.42081448,0.502857143,0.693877551
FMPC 11047: *hhblits annotated* Transporter db:Uniclust30_2023 e-value:2.1e-51 ,0.534219457,0.508571429,0.428571429
"FMPC 11048: CatA-like O-acetyltransferase, family 2 ",0.418552036,0.460952381,0.408163265
FMPC 11049: TetR/AcrR family transcriptional regulator ,0.5,0.5,0.5
FMPC 11050: YitT family protein ,0.480769231,0.5,0.5
FMPC 11051: HAD family hydrolase ,0.507352941,0.514285714,0.785714286
FMPC 11052: *hhblits annotated* Repressor  db:Pdp70 e-value:4.2e-09 ,0.5,0.5,0.428571429
FMPC 11053: ABC transporter ATP-binding protein ,0.507352941,0.5,0.428571429
FMPC 11054: *hhblits annotated* Putative fimbrin-like db:Uniclust30_2023 e-value:2.4 ,0.5,0.5,0.5
FMPC 11055: TVP38/TMEM64 family protein ,0.5,0.5,0.5
FMPC 11056: flavin reductase family protein ,0.5,0.5,0.5
FMPC 11057: *hhblits annotated* Recombinase db:Uniclust30_2023 e-value:0.006 ,0.507352941,0.5,0.428571429
FMPC 11058: ribonuclease D ,0.5,0.514285714,0.5
FMPC 11059: outer membrane beta-barrel protein ,0.5,0.5,0.5
FMPC 11060: 50S ribosomal protein L4 ,0.44739819,0.302857143,0.367346939
FMPC 11061: *hhblits annotated* SH2_2 domain-containing protein db:Uniclust30_2023 e-value:0.29 ,0.5,0.5,0.5
FMPC 11062: HK97 family phage prohead protease ,0.5,0.5,0.5
FMPC 11063: *hhblits annotated* Restriction endonuclease db:Uniclust30_2023 e-value:1.1e-05 ,0.557409502,0.386666667,0.479591837
FMPC 11064: cadmium resistance transporter CadD ,0.432409502,0.472380952,0.510204082
FMPC 11065: peptide chain release factor H ,0.5,0.475238095,0.469387755
FMPC 11066: TetR/AcrR family transcriptional regulator ,0.5,0.5,0.5
FMPC 11067: *hhblits annotated* Helix-turn-helix domain protein  db:Pdp70 e-value:0.00016 ,0.45418552,0.3,0.571428571
FMPC 11068: DNA methyltransferase ,0.5,0.5,0.5
FMPC 11069: TetR/AcrR family transcriptional regulator ,0.5,0.5,0.5
FMPC 11070: *hhblits annotated* MobB db:Uniclust30_2023 e-value:1e-47 ,0.518099548,0.481904762,0.469387755
FMPC 11071: phage tail protein I ,0.477941176,0.433333333,0.387755102
FMPC 11072: PH domain-containing protein ,0.485294118,0.516190476,0.428571429
FMPC 11073: DUF3298 domain-containing protein ,0.5,0.5,0.5
FMPC 11074: response regulator transcription factor ,0.523472851,0.447619048,0.530612245
FMPC 11075: *hhblits annotated* Membrane spanning protein  db:Pdp70 e-value:2.1000000000000002e-58 ,0.5,0.5,0.428571429
FMPC 11076: GntR family transcriptional regulator ,0.5,0.5,0.5
FMPC 11077: *hhblits annotated* Cytochrome c554 and c-prime family protein  db:Pdp70 e-value:1.9e-62 ,0.533936652,0.502857143,0.612244898
FMPC 11078: ProQ/FINO family protein ,0.516968326,0.5,0.571428571
FMPC 11079: GyrI-like domain-containing protein ,0.60520362,0.563809524,0.632653061
FMPC 11080: tail fiber assembly protein ,0.445701357,0.292380952,0.510204082
FMPC 11081: L-threonylcarbamoyladenylate synthase ,0.5,0.452380952,0.5
FMPC 11082: *hhblits annotated* Orf11 protein  db:Pdp70 e-value:8e-36 ,0.511312217,0.5,0.367346939
FMPC 11083: *hhblits annotated* Putative membrane protein  db:Pdp70 e-value:5.1e-21 ,0.536764706,0.52,0.571428571
FMPC 11084: thiol:disulfide interchange protein DsbA/DsbL ,0.5,0.452380952,0.5
FMPC 11085: histidine phosphatase family protein ,0.5,0.5,0.5
FMPC 11086: *hhblits annotated* Aminotransferase class-V  db:Pdp70 e-value:7.5e-40 ,0.497454751,0.331428571,0.591836735
FMPC 11087: DUF2313 domain-containing protein ,0.507352941,0.5,0.5
FMPC 11088: TetR/AcrR family transcriptional regulator ,0.5,0.5,0.5
FMPC 11089: superoxide dismutase ,0.463235294,0.487619048,0.367346939
FMPC 11090: *hhblits annotated* DR_1245 protein db:Uniclust30 e-value:0.0033 ,0.501131222,0.564761905,0.295918367
FMPC 11091: *hhblits annotated* Phage protein  db:Pdp70 e-value:3.4999999999999995e-55 ,0.5,0.5,0.5
FMPC 11092: DUF47 domain-containing protein ,0.480769231,0.5,0.5
FMPC 11093: *hhblits annotated* homocysteine S-methyltransferase family protein db:Uniclust30_2023 e-value:1.4 ,0.386877828,0.398095238,0.448979592
FMPC 11094: *hhblits annotated* Putative secreted protein db:Uniclust30_2023 e-value:0.32 ,0.5,0.5,0.5
FMPC 11095: YesL family protein ,0.544966063,0.5,0.642857143
FMPC 11096: *hhblits annotated* Transmembrane protein db:Uniclust30_2023 e-value:1.1e-98 ,0.469739819,0.293333333,0.693877551
FMPC 11097: HAD family hydrolase ,0.477658371,0.353333333,0.469387755
FMPC 11098: TetR/AcrR family transcriptional regulator ,0.503393665,0.411428571,0.469387755
FMPC 11099: SIS domain-containing protein ,0.522058824,0.405714286,0.459183673
FMPC 11100: glutathione S-transferase family protein ,0.5,0.5,0.5
FMPC 11101: TetR/AcrR family transcriptional regulator ,0.522058824,0.495238095,0.428571429
FMPC 11102: *hhblits annotated* DUF4367 domain-containing protein db:Uniclust30_2023 e-value:7.3e-95 ,0.5,0.5,0.5
FMPC 11103: haloacid dehalogenase-like hydrolase ,0.5,0.5,0.5
FMPC 11104: DUF3164 family protein ,0.476244344,0.5,0.510204082
FMPC 11105: DedA family protein ,0.507352941,0.420952381,0.510204082
FMPC 11106: *hhblits annotated* OmpH family outer membrane protein db:Uniclust30_2023 e-value:1.3999999999999999e-24 ,0.537330317,0.474285714,0.142857143
FMPC 11107: molecular chaperone TorD family protein ,0.5,0.5,0.5
FMPC 11108: plasmid replication DNA-binding protein ,0.496040724,0.445714286,0.571428571
FMPC 11109: flavodoxin family protein ,0.403846154,0.211428571,0.673469388
FMPC 11110: phosphoglycerate mutase family protein ,0.5,0.5,0.5
FMPC 11111: VanZ family protein ,0.503959276,0.398095238,0.459183673
FMPC 11112: zeta toxin family protein ,0.643665158,0.5,0.663265306
FMPC 11113: DedA family protein ,0.5,0.5,0.5
FMPC 11114: FKBP-type peptidyl-prolyl cis-trans isomerase ,0.369909502,0.472380952,0.489795918
FMPC 11115: potassium transporter Trk ,0.5,0.5,0.5
FMPC 11116: GNAT family N-acetyltransferase ,0.48020362,0.368571429,0.37755102
FMPC 11117: 3'-5' exonuclease ,0.5,0.5,0.5
FMPC 11118: *hhblits annotated* RNA POLYMERASE SIGMA FACTOR CNRH db:Uniclust30 e-value:0.0001 ,0.5,0.5,0.5
FMPC 11119: LysE/ArgO family amino acid transporter ,0.522058824,0.5,0.5
FMPC 11120: genetic competence negative regulator ,0.5,0.5,0.5
FMPC 11121: SCO family protein ,0.5,0.5,0.5
"FMPC 11122: Fic/DOC family protein, partial ",0.5,0.5,0.5
FMPC 11123: *hhblits annotated* Extracellular solute-binding protein family 1  db:Pdp70 e-value:1.2e-08 ,0.5,0.5,0.5
FMPC 11124: polysaccharide deacetylase family protein ,0.44061086,0.443809524,0.448979592
FMPC 11125: chemotaxis protein CheB ,0.5,0.5,0.5
FMPC 11126: zf-HC2 domain-containing protein ,0.5,0.5,0.5
FMPC 11127: *hhblits annotated* DUF4367 domain-containing protein db:Uniclust30_2023 e-value:1.0000000000000001e-81 ,0.500565611,0.500952381,0.540816327
FMPC 11128: *hhblits annotated* Gyf domain db:Uniclust30_2023 e-value:6.5 ,0.5,0.5,0.5
FMPC 11129: TetR/AcrR family transcriptional regulator ,0.480769231,0.5,0.5
FMPC 11130: DUF4355 domain-containing protein ,0.507352941,0.5,0.5
FMPC 11131: class A sortase SrtA ,0.495475113,0.52,0.489795918
FMPC 11132: 4Fe-4S diFMPC domain-containing protein ,0.592760181,0.438095238,0.836734694
FMPC 11133: MptD family putative ECF transporter S component ,0.356334842,0.238095238,0.551020408
FMPC 11134: *hhblits annotated* DUF998 domain-containing protein db:Uniclust30_2023 e-value:1.1e-93 ,0.5,0.5,0.5
"FMPC 11135: *hhblits annotated* BCR, YitT family  db:Pdp70 e-value:1.3e-31 ",0.5,0.5,0.5
FMPC 11136: sterol desaturase family protein ,0.5,0.5,0.5
FMPC 11137: PadR family transcriptional regulator ,0.5,0.5,0.5
FMPC 11138: *hhblits annotated* Atp-dependent dna helicase recq  db:Pdp70 e-value:7.2e-10 ,0.5,0.5,0.5
FMPC 11139: exonuclease domain-containing protein ,0.5,0.5,0.5
FMPC 11140: IMPACT family protein ,0.458144796,0.321904762,0.448979592
FMPC 11141: *hhblits annotated* Lmo1068 protein db:Uniclust30 e-value:2.5e-13 ,0.5,0.5,0.5
FMPC 11142: spore germination protein GerPC ,0.5,0.5,0.5
FMPC 11143: TetR/AcrR family transcriptional regulator ,0.5,0.5,0.5
FMPC 11144: TIR domain-containing protein ,0.512443439,0.403809524,0.326530612
FMPC 11145: AmiS/UreI family transporter ,0.5,0.5,0.5
FMPC 11146: *hhblits annotated* Relaxase/Mobilisation nuclease domain-containing protein db:Uniclust30_2023 e-value:7.1e-05 ,0.472285068,0.535238095,0.12244898
FMPC 11147: TetR/AcrR family transcriptional regulator ,0.5,0.5,0.5
FMPC 11148: chloramphenicol acetyltransferase CAT ,0.5,0.428571429,0.5
FMPC 11149: outer membrane lipoprotein carrier protein LolA ,0.5,0.5,0.5
FMPC 11150: methyltransferase domain-containing protein ,0.5,0.5,0.5
FMPC 11151: *hhblits annotated* Immunity protein 26 of polymorphic toxin system db:Uniclust30_2023 e-value:2.8e-10 ,0.5,0.5,0.5
FMPC 11152: signal peptidase I ,0.516402715,0.443809524,0.295918367
FMPC 11153: SprT family zinc-dependent metalloprotease ,0.5,0.5,0.5
FMPC 11154: DUF4290 domain-containing protein ,0.434954751,0.502857143,0.387755102
FMPC 11155: TetR/AcrR family transcriptional regulator ,0.458427602,0.476190476,0.346938776
FMPC 11156: helix-turn-helix domain-containing protein ,0.5,0.5,0.5
FMPC 11157: conjugative transposon protein TraK ,0.301470588,0.462857143,0.489795918
FMPC 11158: guanylate kinase ,0.535633484,0.319047619,0.306122449
FMPC 11159: tail assembly protein ,0.498868778,0.516190476,0.571428571
FMPC 11160: DUF1963 domain-containing protein ,0.5,0.5,0.5
FMPC 11161: Ulp1 family isopeptidase ,0.5,0.5,0.5
FMPC 11162: HAD-IA family hydrolase ,0.5,0.5,0.5
FMPC 11163: TetR/AcrR family transcriptional regulator ,0.506221719,0.512380952,0.551020408
"FMPC 11164: *hhblits annotated* Phage major tail protein, phi13 family  db:Pdp70 e-value:7.5e-20 ",0.5,0.5,0.5
FMPC 11165: *hhblits annotated* Serine/threonine protein kinase  db:Pdp70 e-value:1.5e-56 ,0.5,0.5,0.5
FMPC 11166: helix-turn-helix domain-containing protein ,0.433823529,0.384761905,0.489795918
FMPC 11167: cation transporter ,0.495475113,0.5,0.5
FMPC 11168: *hhblits annotated* RES domain-containing protein db:Uniclust30_2023 e-value:2.5999999999999996e-24 ,0.5,0.5,0.5
FMPC 11169: CotY/CotZ family spore coat protein ,0.5,0.5,0.5
FMPC 11170: ATP-binding cassette domain-containing protein ,0.5,0.54,0.5
FMPC 11171: Ykof family thiamine-binding protein ,0.5,0.5,0.5
FMPC 11172: tellurium resistance TerZ family protein ,0.595588235,0.440952381,0.591836735
FMPC 11173: cadmium resistance transporter ,0.480769231,0.5,0.428571429
FMPC 11174: *hhblits annotated* Immunity protein 43 domain-containing protein db:Uniclust30_2023 e-value:8.900000000000001e-71 ,0.45050905,0.579047619,0.346938776
FMPC 11175: Type 1 glutamine amidotransferase-like domain-containing protein ,0.536199095,0.448571429,0.683673469
FMPC 11176: formate hydrogenlyase subunit HycB ,0.406674208,0.476190476,0.612244898
FMPC 11177: TetR/AcrR family transcriptional regulator ,0.414027149,0.495238095,0.428571429
FMPC 11178: DUF2812 domain-containing protein ,0.5,0.5,0.5
FMPC 11179: *hhblits annotated* Coil containing protein db:Uniclust30_2023 e-value:5.1e-46 ,0.517816742,0.497142857,0.591836735
FMPC 11180: mercuric transport protein MerTP ,0.5,0.5,0.5
FMPC 11181: NAD(P)-binding protein ,0.5,0.5,0.5
FMPC 11182: copper resistance protein CopC ,0.5,0.5,0.5
FMPC 11183: ECF transporter S component ,0.525452489,0.497142857,0.632653061
FMPC 11184: *hhblits annotated* glycosyltransferase db:Uniclust30_2023 e-value:8.9 ,0.5,0.495238095,0.5
FMPC 11185: XTP/dITP diphosphatase ,0.452488688,0.377142857,0.571428571
FMPC 11186: *hhblits annotated* Relaxase db:Uniclust30_2023 e-value:9.9e-46 ,0.5,0.5,0.5
FMPC 11187: phage tail protein ,0.516968326,0.5,0.428571429
FMPC 11188: replication protein ,0.505090498,0.419047619,0.653061224
FMPC 11189: CPBP family intramembrane metalloprotease ,0.5,0.5,0.5
FMPC 11190: DedA family protein ,0.509615385,0.5,0.428571429
FMPC 11191: methyltransferase domain-containing protein ,0.5,0.5,0.5
"FMPC 11192: GyrI-like domain-containing protein, partial ",0.456447964,0.375238095,0.62244898
FMPC 11193: *hhblits annotated* 2-methylcitrate dehydratase  db:Pdp70 e-value:2.3000000000000002e-33 ,0.51668552,0.52,0.5
FMPC 11194: isopentenyl-diphosphate Delta-isomerase ,0.497171946,0.287619048,0.551020408
FMPC 11195: CPBP family intramembrane metalloprotease ,0.48020362,0.55047619,0.367346939
